date,open,high,low,close,volume
2013-11-05,31.3066,31.4998,31.1303,31.1471,15198041
2013-11-06,31.273,31.4074,30.7104,30.7272,16164617
2013-11-07,30.744,30.8615,30.1561,30.1645,19893826
2013-11-08,30.3577,30.8783,30.2401,30.786,18203136
2013-11-11,30.8028,31.1471,30.6516,30.8028,13666468
2013-11-12,30.7944,30.9035,30.5424,30.786,14363633
2013-11-13,30.6516,32.3521,30.6348,32.2808,43839691
2013-11-14,32.4991,32.5831,32.0372,32.3311,28491456
2013-11-15,32.3395,32.814,32.0792,32.5579,21699113
2013-11-18,32.5915,32.9022,32.3563,32.3899,16792403
2013-11-19,32.3899,32.5285,31.8189,31.9197,19843069
2013-11-20,32.0036,32.5075,31.5753,31.6509,16898679
2013-11-21,32.6251,32.751,31.9448,32.012,33903893
2013-11-22,32.0792,32.3311,31.5586,31.6005,26780451
2013-11-25,31.7013,31.7979,31.399,31.5334,21111360
2013-11-26,31.6593,31.8609,31.4074,31.6341,22798634
2013-11-27,31.6677,32.7426,31.5753,32.6251,27415786
2013-11-29,32.667,32.877,32.3311,32.5243,7672093
2013-12-02,32.835,33.0786,32.6754,32.8434,21200559
2013-12-03,32.6586,32.8266,31.6425,32.0288,44843977
2013-12-04,32.3563,33.2717,32.012,32.5075,39730069
2013-12-05,32.7426,33.0365,32.3731,32.8266,34590433
2013-12-06,33.5824,33.9099,33.2549,33.7336,37909514
2013-12-09,33.9099,34.5691,33.8511,34.3466,29291072
2013-12-10,34.0527,34.5397,33.9225,33.9267,32542344
2013-12-11,34.229,34.2878,33.6496,33.7252,16384847
2013-12-12,33.6748,34.1031,33.5992,33.6328,18900523
2013-12-13,33.7504,33.8847,33.6076,33.6244,14885877
2013-12-16,34.0611,34.8924,33.9771,34.8001,33583213
2013-12-17,34.9848,35.1444,34.5439,34.8756,28297456
2013-12-18,34.5733,34.7665,33.4732,34.6573,51850685
2013-12-19,34.5481,34.6573,33.658,33.8427,25215488
2013-12-20,33.9939,34.4726,33.742,34.4222,49656971
2013-12-23,34.3466,34.9176,34.1031,34.6741,20370038
2013-12-24,34.6405,34.6909,34.2878,34.3298,7605320
2013-12-26,34.4642,35.1444,34.4642,34.8672,11169500
2013-12-27,34.6909,34.8001,34.313,34.3802,10052743
2013-12-30,34.4306,34.5431,34.1366,34.1702,8737741
2013-12-31,34.1786,34.4642,34.0779,34.3214,11102142
2014-01-02,34.1618,34.4809,33.8763,34.3886,14764415
